timestamp,station_id,region,temperature,humidity,pressure,t_prev,h_prev,p_prev,is_anom
2025-07-13T16:29:00.000,0,Norte,28.42,62.8,1008.97,28.31,63.2,1014.84,true
2025-07-13T18:09:00.000,0,Norte,28.29,63.0,1015.16,28.42,62.8,1008.97,true
2025-07-17T13:49:00.000,0,Norte,28.37,100.0,1015.67,28.67,63.4,1014.26,true
2025-07-17T15:29:00.000,0,Norte,28.51,63.4,1014.64,28.37,100.0,1015.67,true
2025-07-10T13:30:00.000,1,Norte,29.47,100.0,1007.92,29.36,52.7,1009.23,true
2025-07-10T15:10:00.000,1,Norte,29.49,52.7,1009.54,29.47,100.0,1007.92,true
2025-07-13T18:11:00.000,2,Leste,19.0,73.7,1012.13,24.29,73.7,1011.96,true
2025-07-13T19:51:00.000,2,Leste,24.22,73.2,1013.22,19.0,73.7,1012.13,true
2025-07-16T14:31:00.000,2,Leste,19.12,73.8,1013.03,24.19,73.8,1012.76,true
2025-07-16T16:11:00.000,2,Leste,24.21,74.1,1013.16,19.12,73.8,1013.03,true
2025-07-16T22:51:00.000,2,Leste,24.37,73.4,1019.87,24.16,73.8,1012.53,true
2025-07-17T00:31:00.000,2,Leste,24.18,73.7,1012.61,24.37,73.4,1019.87,true
2025-07-06T06:12:00.000,3,Sul,16.62,0.0,1015.55,16.65,61.6,1015.69,true
2025-07-06T07:52:00.000,3,Sul,16.59,61.3,1016.08,16.62,0.0,1015.55,true
2025-07-14T09:12:00.000,3,Sul,16.72,0.0,1015.36,16.66,60.9,1015.39,true
2025-07-14T10:52:00.000,3,Sul,16.8,60.9,1016.09,16.72,0.0,1015.36,true
2025-07-15T16:53:00.000,4,Sul,13.13,74.7,1013.61,18.21,74.7,1014.6,true
2025-07-15T18:33:00.000,4,Sul,18.02,75.0,1014.66,13.13,74.7,1013.61,true
2025-07-12T20:34:00.000,5,Sul,16.92,66.3,1009.67,16.71,66.7,1004.35,true
2025-07-06T14:35:00.000,6,Norte,29.31,68.9,1018.61,29.45,68.9,1012.21,true
2025-07-06T16:15:00.000,6,Norte,29.37,68.8,1013.33,29.31,68.9,1018.61,true
2025-07-16T22:55:00.000,6,Norte,29.28,69.4,1006.12,29.16,69.0,1012.57,true
2025-07-17T00:35:00.000,6,Norte,29.34,68.3,1013.03,29.28,69.4,1006.12,true
2025-07-08T16:36:00.000,7,Central,19.01,79.3,1012.46,23.9,79.3,1012.05,true
2025-07-08T18:16:00.000,7,Central,24.08,78.8,1013.3,19.01,79.3,1012.46,true
2025-07-11T06:16:00.000,7,Central,28.98,78.9,1012.73,24.04,79.5,1012.41,true
2025-07-11T07:56:00.000,7,Central,23.96,79.5,1012.12,28.98,78.9,1012.73,true
2025-07-11T17:56:00.000,7,Central,23.69,79.3,1006.45,23.93,78.6,1012.43,true
2025-07-11T19:36:00.000,7,Central,23.94,79.2,1012.13,23.69,79.3,1006.45,true
2025-07-12T10:36:00.000,7,Central,19.0,79.4,1012.49,24.0,79.2,1012.61,true
2025-07-12T12:16:00.000,7,Central,23.99,78.7,1012.31,19.0,79.4,1012.49,true
2025-07-06T19:38:00.000,9,Central,25.48,100.0,1014.28,25.68,54.4,1015.2,true
2025-07-06T21:18:00.000,9,Central,25.59,53.9,1013.54,25.48,100.0,1014.28,true
2025-07-16T19:38:00.000,9,Central,25.52,54.7,1007.24,25.55,55.1,1014.91,true
2025-07-16T21:18:00.000,9,Central,25.53,55.0,1013.94,25.52,54.7,1007.24,true
2025-07-12T18:59:00.000,10,Oeste,20.19,78.9,1011.54,25.0,78.6,1011.25,true
2025-07-12T20:39:00.000,10,Oeste,25.21,79.3,1011.61,20.19,78.9,1011.54,true
2025-07-14T07:39:00.000,10,Oeste,30.08,78.9,1011.22,25.21,78.9,1010.91,true
2025-07-14T09:19:00.000,10,Oeste,25.43,79.1,1010.81,30.08,78.9,1011.22,true
2025-07-08T18:20:00.000,11,Norte,26.81,100.0,1016.11,26.75,64.2,1016.44,true
