timestamp,station_id,sensor_tag
2025-07-07T10:57:00,39,T
2025-07-07T12:31:00,33,P
2025-07-07T12:34:00,36,P
2025-07-07T12:37:00,39,T
2025-07-07T13:05:00,67,P
2025-07-07T13:41:00,3,H
2025-07-07T14:11:00,33,P
2025-07-07T14:14:00,36,P
2025-07-07T14:45:00,67,P
2025-07-07T15:21:00,3,H
2025-07-07T16:48:00,90,P
2025-07-07T18:28:00,90,P
2025-07-07T19:28:00,50,P
2025-07-07T20:31:00,13,H
2025-07-07T21:08:00,50,P
2025-07-07T22:04:00,6,P
2025-07-07T22:11:00,13,H
2025-07-07T23:44:00,6,P
2025-07-08T03:07:00,9,H
2025-07-08T04:47:00,9,H
2025-07-08T06:47:00,29,H
2025-07-08T08:27:00,29,H
2025-07-08T14:29:00,91,T
2025-07-08T16:09:00,91,T
2025-07-08T19:15:00,77,T
2025-07-08T20:55:00,77,T
2025-07-08T21:41:00,23,P
2025-07-08T23:21:00,23,P
2025-07-09T00:10:00,72,H
2025-07-09T01:50:00,72,H
2025-07-09T02:48:00,30,T
2025-07-09T04:28:00,30,T
2025-07-09T04:41:00,43,T
2025-07-09T05:09:00,71,T
2025-07-09T05:37:00,99,T
2025-07-09T06:21:00,43,T
2025-07-09T06:49:00,71,T
2025-07-09T07:17:00,99,T
2025-07-09T09:43:00,45,P
2025-07-09T10:22:00,84,T
2025-07-09T10:33:00,95,P
2025-07-09T11:23:00,45,P
2025-07-09T12:02:00,84,T
2025-07-09T12:13:00,95,P
2025-07-09T12:16:00,98,H
2025-07-09T13:56:00,98,H
2025-07-09T16:47:00,69,P
2025-07-09T18:27:00,69,P
2025-07-10T00:05:00,7,T
2025-07-10T01:45:00,7,T
2025-07-10T01:49:00,11,H
2025-07-10T03:29:00,11,H
2025-07-10T04:03:00,45,H
2025-07-10T05:32:00,34,P
2025-07-10T05:43:00,45,H
2025-07-10T07:12:00,34,P
2025-07-10T07:43:00,65,H
2025-07-10T09:23:00,65,H
2025-07-10T14:06:00,48,P
2025-07-10T14:28:00,70,H
2025-07-10T14:33:00,75,P
2025-07-10T15:18:00,20,T
2025-07-10T15:46:00,48,P
2025-07-10T16:08:00,70,H
2025-07-10T16:13:00,75,P
2025-07-10T16:58:00,20,T
2025-07-10T20:30:00,32,P
2025-07-10T22:10:00,32,P
2025-07-11T06:10:00,12,T
2025-07-11T06:49:00,51,P
2025-07-11T07:50:00,12,T
2025-07-11T08:29:00,51,P
2025-07-11T10:53:00,95,P
2025-07-11T13:57:00,79,H
2025-07-11T14:33:00,15,P
2025-07-11T15:37:00,79,H
2025-07-11T16:13:00,15,P
2025-07-11T20:59:00,1,H
2025-07-11T21:21:00,23,T
2025-07-11T22:39:00,1,H
2025-07-11T23:01:00,23,T
2025-07-12T04:36:00,58,H
2025-07-12T06:16:00,58,H
2025-07-12T07:26:00,28,H
2025-07-12T09:06:00,28,H
2025-07-12T09:36:00,58,T
2025-07-12T11:16:00,58,T
2025-07-12T12:19:00,21,H
2025-07-12T13:45:00,7,T
2025-07-12T13:59:00,21,H
2025-07-12T14:05:00,27,P
2025-07-12T15:25:00,7,T
2025-07-12T15:45:00,27,P
2025-07-12T18:29:00,91,P
2025-07-12T20:09:00,91,P
2025-07-12T23:14:00,76,H
2025-07-13T00:54:00,76,H
2025-07-13T01:25:00,7,P
2025-07-13T03:05:00,7,P
2025-07-13T05:29:00,51,T
2025-07-13T07:09:00,51,T
2025-07-13T11:52:00,34,P
2025-07-13T13:32:00,34,P
2025-07-13T18:05:00,7,T
2025-07-13T19:45:00,7,T
2025-07-13T20:37:00,59,P
2025-07-13T22:01:00,43,H
2025-07-13T22:17:00,59,P
2025-07-13T23:41:00,43,HP
2025-07-14T01:21:00,43,P
2025-07-14T02:05:00,87,P
2025-07-14T02:23:00,5,P
2025-07-14T02:28:00,10,T
2025-07-14T02:52:00,34,T
2025-07-14T03:45:00,87,P
2025-07-14T04:03:00,5,P
2025-07-14T04:08:00,10,T
2025-07-14T04:16:00,18,H
2025-07-14T04:32:00,34,T
2025-07-14T05:56:00,18,H
2025-07-14T06:01:00,23,T
2025-07-14T07:41:00,23,T
2025-07-14T14:10:00,12,P
2025-07-14T15:50:00,12,P
2025-07-14T23:58:00,0,P
2025-07-15T01:38:00,0,P
2025-07-15T01:40:00,2,T
2025-07-15T03:20:00,2,T
2025-07-15T04:27:00,69,P
2025-07-15T06:04:00,66,H
2025-07-15T06:07:00,69,P
2025-07-15T07:44:00,66,H
2025-07-15T12:28:00,50,H
2025-07-15T14:08:00,50,H
2025-07-15T15:08:00,10,T
2025-07-15T16:21:00,83,T
2025-07-15T16:41:00,3,H
2025-07-15T16:48:00,10,T
2025-07-15T18:01:00,83,T
2025-07-15T18:21:00,3,H
2025-07-15T21:24:00,86,H
2025-07-15T23:04:00,86,H
2025-07-16T01:25:00,27,T
2025-07-16T01:56:00,58,T
2025-07-16T03:05:00,27,T
2025-07-16T03:36:00,58,T
2025-07-16T04:12:00,94,T
2025-07-16T05:32:00,74,P
2025-07-16T05:52:00,94,T
2025-07-16T07:12:00,74,P
2025-07-16T12:21:00,83,T
2025-07-16T14:01:00,83,T
2025-07-16T17:22:00,84,T
2025-07-16T19:02:00,84,T
2025-07-16T21:39:00,41,P
2025-07-16T21:47:00,49,H
2025-07-16T23:27:00,49,H
2025-07-17T00:22:00,4,T
2025-07-17T02:02:00,4,T
2025-07-17T07:58:00,60,P
2025-07-17T09:38:00,60,P
2025-07-17T13:49:00,11,T
2025-07-17T15:29:00,11,T
2025-07-17T15:43:00,25,T
2025-07-17T17:23:00,25,T
2025-07-17T19:40:00,62,P
2025-07-17T20:02:00,84,H
2025-07-17T20:54:00,36,P
2025-07-17T21:20:00,62,P
2025-07-17T21:42:00,84,H
2025-07-17T22:00:00,2,T
2025-07-17T22:34:00,36,P
2025-07-17T23:02:00,64,H
2025-07-17T23:29:00,91,P
2025-07-17T23:40:00,2,T
2025-07-18T00:42:00,64,H
2025-07-18T01:09:00,91,P
2025-07-18T01:16:00,98,P
2025-07-18T01:31:00,13,H
2025-07-18T01:46:00,28,T
2025-07-18T02:56:00,98,P
2025-07-18T03:11:00,13,H
2025-07-18T03:26:00,28,T
2025-07-18T04:47:00,9,P
2025-07-18T06:20:00,2,P
2025-07-18T06:24:00,6,P
2025-07-18T08:00:00,2,P
2025-07-18T08:04:00,6,P
2025-07-18T15:53:00,75,T
2025-07-18T17:33:00,75,T
2025-07-18T18:09:00,11,P
2025-07-18T21:18:00,0,H
2025-07-18T22:58:00,0,H
2025-07-18T23:57:00,59,H
2025-07-19T01:15:00,37,P
2025-07-19T01:37:00,59,H
2025-07-19T02:07:00,89,H
2025-07-19T02:55:00,37,P
2025-07-19T03:47:00,89,H
2025-07-19T04:49:00,51,H
2025-07-19T06:29:00,51,H
2025-07-19T11:54:00,76,P
2025-07-19T12:01:00,83,H
2025-07-19T12:46:00,28,T
2025-07-19T13:41:00,83,H
2025-07-19T14:26:00,28,T
2025-07-19T18:06:00,48,T
2025-07-19T19:46:00,48,T
2025-07-20T00:26:00,28,T
2025-07-20T02:06:00,28,T
2025-07-20T04:34:00,76,T
2025-07-20T05:45:00,47,H
2025-07-20T06:06:00,68,T
2025-07-20T06:14:00,76,T
2025-07-20T07:25:00,47,H
2025-07-20T07:46:00,68,T
2025-07-20T08:17:00,99,P
2025-07-20T09:06:00,48,P
2025-07-20T09:57:00,99,P
2025-07-20T10:18:00,20,T
2025-07-20T10:46:00,48,P
2025-07-20T11:58:00,20,T
2025-07-20T15:15:00,17,P
2025-07-20T15:40:00,42,T
2025-07-20T16:55:00,17,P
2025-07-20T17:20:00,42,T
2025-07-20T20:58:00,60,T
2025-07-20T22:33:00,55,T
2025-07-20T22:38:00,60,T
2025-07-21T00:13:00,55,T
2025-07-21T02:03:00,65,P
2025-07-21T03:43:00,65,P
2025-07-21T06:18:00,20,P
2025-07-21T07:33:00,95,T
2025-07-21T07:58:00,20,P
2025-07-21T09:13:00,95,T
2025-07-21T12:41:00,3,T
2025-07-21T14:21:00,3,T
2025-07-21T17:32:00,94,T
2025-07-21T19:12:00,94,T
2025-07-22T02:33:00,35,T
2025-07-22T03:07:00,69,H
2025-07-22T04:13:00,35,T
2025-07-22T04:47:00,69,H
2025-07-22T09:27:00,49,T
2025-07-22T10:05:00,87,P
2025-07-22T11:07:00,49,T
2025-07-22T11:45:00,87,P
2025-07-22T14:23:00,45,T
2025-07-22T15:02:00,84,H
2025-07-22T16:03:00,45,T
2025-07-22T16:29:00,71,P
2025-07-22T16:42:00,84,H
2025-07-22T17:16:00,18,H
2025-07-22T18:09:00,71,P
2025-07-22T18:56:00,18,H
2025-07-22T19:08:00,30,T
2025-07-22T20:48:00,30,T
2025-07-22T22:31:00,33,P
2025-07-23T00:11:00,33,P
2025-07-23T02:19:00,61,T
2025-07-23T03:59:00,61,T
2025-07-23T08:06:00,8,P
2025-07-23T08:28:00,30,P
2025-07-23T08:57:00,59,P
2025-07-23T09:15:00,77,H
2025-07-23T09:46:00,8,P
2025-07-23T10:08:00,30,P
2025-07-23T10:37:00,59,P
2025-07-23T10:55:00,77,H
2025-07-23T12:42:00,84,T
2025-07-23T12:44:00,86,H
2025-07-23T13:30:00,32,H
2025-07-23T13:41:00,43,T
2025-07-23T14:22:00,84,T
2025-07-23T14:24:00,86,H
2025-07-23T15:10:00,32,H
2025-07-23T15:21:00,43,T
2025-07-23T19:49:00,11,T
2025-07-23T21:29:00,11,T
2025-07-24T05:35:00,97,T
2025-07-24T07:15:00,97,T
2025-07-24T07:54:00,36,P
2025-07-24T09:30:00,32,H
2025-07-24T09:34:00,36,P
2025-07-24T11:10:00,32,H
2025-07-24T16:35:00,57,H
2025-07-24T17:05:00,87,H
2025-07-24T18:15:00,57,H
2025-07-24T18:37:00,79,H
2025-07-24T18:45:00,87,H
2025-07-24T19:11:00,13,H
2025-07-24T20:17:00,79,H
2025-07-24T20:51:00,13,H
2025-07-25T03:52:00,34,P
2025-07-25T05:32:00,34,P
2025-07-25T06:33:00,95,T
2025-07-25T07:42:00,64,P
2025-07-25T08:13:00,95,T
2025-07-25T09:22:00,64,P
2025-07-25T13:28:00,10,P
2025-07-25T13:53:00,35,P
2025-07-25T14:53:00,95,T
2025-07-25T15:08:00,10,P
2025-07-25T15:33:00,35,P
2025-07-25T16:33:00,95,T
2025-07-25T16:58:00,20,T
2025-07-25T17:39:00,61,H
2025-07-25T18:38:00,20,T
2025-07-25T19:19:00,61,H
2025-07-26T03:21:00,43,P
2025-07-26T05:01:00,43,P
2025-07-26T07:02:00,64,H
2025-07-26T08:42:00,64,H
2025-07-26T15:59:00,1,T
2025-07-26T16:47:00,49,T
2025-07-26T17:39:00,1,T
2025-07-26T18:27:00,49,T
2025-07-26T21:44:00,46,T
2025-07-26T23:24:00,46,T
2025-07-27T01:48:00,90,T
2025-07-27T02:49:00,51,P
2025-07-27T03:28:00,90,T
2025-07-27T04:29:00,51,P
2025-07-27T05:19:00,1,H
2025-07-27T06:59:00,1,H
2025-07-27T07:13:00,15,T
2025-07-27T08:53:00,15,T
2025-07-27T13:38:00,0,H
2025-07-27T13:52:00,14,T
2025-07-27T15:04:00,86,H
2025-07-27T15:18:00,0,H
2025-07-27T15:32:00,14,T
2025-07-27T16:44:00,86,H
2025-07-27T19:02:00,24,H
2025-07-27T20:42:00,24,H
2025-07-27T21:16:00,58,T
2025-07-27T21:21:00,63,T
2025-07-27T22:06:00,8,H
2025-07-27T22:56:00,58,T
2025-07-27T23:01:00,63,T
2025-07-27T23:46:00,8,H
2025-07-28T06:55:00,37,P
2025-07-28T08:35:00,37,P
2025-07-28T11:16:00,98,T
2025-07-28T12:56:00,98,T
2025-07-28T13:33:00,35,T
2025-07-28T14:53:00,15,P
2025-07-28T15:13:00,35,T
2025-07-28T16:33:00,15,P
2025-07-28T19:46:00,8,P
2025-07-28T21:26:00,8,P
2025-07-28T22:31:00,73,T
2025-07-29T00:11:00,73,T
2025-07-29T00:46:00,8,T
2025-07-29T00:59:00,21,T
2025-07-29T01:05:00,27,T
2025-07-29T02:26:00,8,T
2025-07-29T02:39:00,21,T
2025-07-29T02:45:00,27,T
